diff0        diff1      val_acc 
(0x0,0x80)	(0x0,0x1)	0.642480016		
(0x0,0x80)	(0x0,0x2)	0.677868009		
(0x0,0x80)	(0x0,0x4)	0.665733993		
(0x0,0x80)	(0x0,0x8)	0.704142007		
(0x0,0x80)	(0x0,0x10)	0.684498012		
(0x0,0x80)	(0x0,0x20)	0.67227602		
(0x0,0x80)	(0x0,0x40)	0.674543977		
(0x0,0x80)	(0x0,0x100)	0.682030022		
(0x0,0x80)	(0x0,0x200)	0.692575991		
(0x0,0x80)	(0x0,0x400)	0.667566001		
(0x0,0x80)	(0x0,0x800)	0.680905998		
(0x0,0x80)	(0x0,0x1000)	0.636717975		
(0x0,0x80)	(0x0,0x2000)	0.692081988		
(0x0,0x80)	(0x0,0x4000)	0.682730019		
(0x0,0x80)	(0x0,0x8000)	0.695456028		
(0x0,0x80)	(0x1,0x0)	0.650785983		
(0x0,0x80)	(0x2,0x0)	0.648263991		
(0x0,0x80)	(0x4,0x0)	0.645834029		
(0x0,0x80)	(0x8,0x0)	0.64704603		
(0x0,0x80)	(0x10,0x0)	0.61879599		
(0x0,0x80)	(0x20,0x0)	0.65614002		
(0x0,0x80)	(0x40,0x0)	0.64559400		
(0x0,0x80)	(0x80,0x0)	0.65148001		
(0x0,0x80)	(0x100,0x0)	0.63068598		
(0x0,0x80)	(0x200,0x0)	0.64130199	
(0x0,0x80)	(0x400,0x0)	0.64484399		
(0x0,0x80)	(0x800,0x0)	0.64945197		
(0x0,0x80)	(0x1000,0x0)	0.642988026	
(0x0,0x80)	(0x2000,0x0)	0.651553988		
(0x0,0x80)	(0x4000,0x0)	0.608407974		
(0x0,0x80)	(0x8000,0x0)	0.621357977
		
